,alignment,condition,time_screen,sub,age,gender
377,misaligned,different,2.34,RKQERS,4.109589041095891,m
378,misaligned,different,2.2333333333333334,QYYW46,5.342465753424658,f
379,misaligned,different,5.383333333333334,CdBSPP,4.109589041095891,f
380,misaligned,different,3.7999999999999994,F4LDT2,5.260273972602739,m
381,misaligned,different,0.7566666666666668,c2JcAQ,4.931506849315069,m
382,misaligned,different,1.2833333333333334,34RM3G,6.575342465753424,m
383,misaligned,different,3.1500000000000004,FKJTLd,4.191780821917808,m
384,misaligned,different,1.6683333333333332,MX7YEJ,6.575342465753424,m
385,misaligned,different,2.085,XUS5CL,4.109589041095891,f
386,misaligned,different,4.233333333333333,DH27SD,6.0,m
387,misaligned,different,2.716666666666667,KKY3TT,5.342465753424658,f
388,misaligned,different,2.3666666666666667,QE5J2H,5.424657534246576,m
389,misaligned,different,5.1499999999999995,WScYBT,5.7534246575342465,m
390,misaligned,different,1.4666666666666668,VYHNXF,6.328767123287672,m
391,misaligned,different,3.733333333333333,RU4MYJ,4.438356164383562,m
392,misaligned,different,2.1999999999999997,BNRGKZ,5.260273972602739,f
393,misaligned,different,2.586,RRA4CB,5.506849315068493,f
394,misaligned,different,3.233333333333333,GYYNLD,4.3561643835616435,m
395,misaligned,different,3.0,RNCZJc,6.739726027397261,m
396,misaligned,different,3.9800000000000004,RP2HDS,6.904109589041096,f
397,misaligned,different,3.3,EHHRXd,4.767123287671233,m
398,misaligned,different,2.733333333333333,NTYN3N,5.095890410958904,f
399,aligned,different,5.716666666666668,UX6XX6,4.931506849315069,m
400,aligned,different,1.9483333333333333,ZFEcFW,4.191780821917808,f
401,aligned,different,5.701666666666667,FMNR4U,4.602739726027397,f
402,aligned,different,0.4166666666666667,QWFWAQ,6.904109589041096,f
403,aligned,different,2.933333333333333,PHM3KT,5.835616438356165,f
404,aligned,different,5.665,TMBc4N,4.931506849315069,m
405,aligned,different,4.483333333333333,NRHSFK,5.506849315068493,m
406,aligned,different,3.1,BK45G2,4.767123287671233,m
407,aligned,different,3.9633333333333334,ADUJcY,6.082191780821918,m
408,aligned,different,2.44,YdTJH7,5.424657534246576,f
409,aligned,different,3.3,TKA647,4.109589041095891,m
410,aligned,different,2.933333333333333,JLCN7S,5.506849315068493,f
411,aligned,different,2.7166666666666663,3R2CUC,5.835616438356165,f
412,aligned,different,3.266666666666667,LcYFQM,5.506849315068493,f
413,aligned,different,10.422,BUR2PY,4.191780821917808,m
414,aligned,different,4.165,EV5Z3R,5.671232876712328,m
415,aligned,different,0.942,WKCNHd,5.260273972602739,m
416,aligned,different,3.048333333333334,REMYW7,4.273972602739726,f
